N,P,K,temperature,humidity,ph,rainfall,label
24.17,67.01,19.51,22.19,70.86,6.98,45.77,lentil
19.64,58.69,24.15,18.35,74.52,7.07,58.95,lentil
20.43,56.94,18.76,15.99,71.23,6.89,63.34,lentil
17.2,57.47,19.06,24.27,72.1,6.84,55.52,lentil
15.84,69.77,21.66,17.85,70.86,6.22,68.98,lentil
16.75,64.72,17.45,22.18,72.77,7.35,58.43,lentil
23.92,56.18,18.31,17.48,74.88,6.78,61.98,lentil
21.85,58.18,17.39,17.81,69.11,6.47,40.59,lentil
23.79,69.48,18.42,18.39,65.07,7.36,64.76,lentil
16.47,57.39,22.9,21.16,65.45,7.25,49.27,lentil
18.69,66.55,23.11,19.0,74.47,6.81,63.16,lentil
19.84,68.46,24.08,15.87,74.36,7.65,63.74,lentil
17.01,67.08,23.5,17.89,74.52,6.1,44.5,lentil
20.38,63.64,21.45,15.17,74.6,6.09,44.29,lentil
15.14,63.5,24.32,21.66,73.23,6.03,56.26,lentil
19.6,62.48,15.72,21.84,70.03,7.53,54.56,lentil
16.49,64.72,16.72,23.72,71.13,6.31,68.87,lentil
20.18,56.09,21.27,17.53,73.04,7.64,69.37,lentil
20.02,61.82,22.53,16.32,70.47,7.09,42.68,lentil
19.18,67.8,23.56,15.99,65.91,6.53,66.24,lentil
16.29,65.8,16.01,21.23,68.56,7.58,47.01,lentil
21.39,58.54,22.14,23.74,66.27,7.73,57.81,lentil
16.27,61.41,16.61,22.0,72.59,6.21,55.18,lentil
23.15,69.04,20.14,24.5,70.36,6.79,65.45,lentil
19.93,62.08,19.9,23.47,73.32,6.81,50.0,lentil
19.92,63.59,17.38,22.94,69.86,6.67,43.2,lentil
17.39,69.24,18.05,16.69,69.61,6.61,41.05,lentil
18.23,63.16,20.52,18.57,69.47,7.93,51.32,lentil
17.58,58.65,19.58,22.6,67.06,7.42,40.63,lentil
19.19,66.64,18.39,20.64,67.05,7.48,41.57,lentil
23.53,57.97,23.74,18.53,72.23,6.64,67.18,lentil
16.27,57.68,19.93,15.82,66.96,7.89,69.29,lentil
18.76,68.85,20.45,17.7,72.02,7.32,69.67,lentil
17.65,65.08,15.52,16.14,65.04,8.0,64.07,lentil
22.87,62.65,18.0,16.51,67.85,6.75,62.69,lentil
20.4,56.16,15.18,16.02,69.1,7.87,59.12,lentil
23.02,62.0,18.62,16.08,73.76,7.57,45.04,lentil
20.12,62.31,21.25,24.46,70.8,7.08,41.51,lentil
15.63,57.81,15.32,22.43,72.23,6.27,65.08,lentil
16.55,59.52,17.49,18.72,67.55,6.98,52.22,lentil
24.87,55.84,16.42,15.53,71.26,6.11,65.09,lentil
20.12,62.91,20.62,16.71,66.98,6.64,57.8,lentil
17.1,56.74,24.7,15.22,73.03,7.58,48.92,lentil
16.36,57.18,21.97,21.43,72.83,7.87,60.76,lentil
16.56,58.65,23.42,17.09,65.73,7.41,52.08,lentil
24.2,64.75,15.9,24.48,67.59,6.67,52.07,lentil
15.51,62.45,16.23,19.01,68.51,7.55,64.1,lentil
16.53,60.5,18.73,16.51,72.98,7.41,45.71,lentil
18.67,56.59,21.28,16.21,74.86,7.56,51.71,lentil
20.79,68.67,20.54,16.74,68.79,7.69,59.33,lentil
21.51,68.0,23.94,24.2,65.95,7.09,62.22,lentil
22.57,64.1,16.67,22.97,72.2,6.17,53.91,lentil
16.74,60.06,15.18,19.0,70.5,7.24,59.9,lentil
23.36,58.23,16.2,23.52,66.57,7.95,65.28,lentil
20.01,69.72,15.97,18.03,71.38,6.7,67.85,lentil
15.66,63.24,20.91,21.53,67.56,6.73,65.31,lentil
16.95,67.4,20.63,22.62,72.14,6.42,57.06,lentil
23.68,61.48,24.67,19.52,66.43,6.78,68.55,lentil
18.2,68.02,23.81,18.5,65.83,7.45,49.35,lentil
22.83,46.64,42.28,25.78,80.74,6.16,75.05,pomegranate
18.67,47.89,47.13,21.62,82.86,6.51,70.78,pomegranate
17.78,54.0,45.85,23.77,84.72,5.54,84.72,pomegranate
20.1,48.19,40.39,18.81,77.9,6.93,76.35,pomegranate
19.67,40.79,35.56,25.17,83.07,6.26,69.72,pomegranate
22.45,42.52,37.85,22.61,79.29,5.87,85.81,pomegranate
21.51,52.37,41.27,18.73,79.1,6.97,83.85,pomegranate
22.1,40.11,42.77,18.38,83.54,6.88,98.74,pomegranate
20.41,46.87,49.18,24.74,75.97,6.2,69.61,pomegranate
19.7,46.83,43.73,21.57,77.46,6.26,93.21,pomegranate
21.64,45.08,49.03,27.12,78.14,5.56,89.65,pomegranate
23.28,54.52,48.35,24.01,82.95,5.54,69.87,pomegranate
19.6,49.43,43.36,25.43,79.2,6.35,63.53,pomegranate
19.14,51.25,45.4,27.91,79.17,6.25,73.18,pomegranate
19.41,52.85,45.26,26.82,78.05,6.81,62.39,pomegranate
23.89,44.94,39.72,23.12,89.11,5.57,74.09,pomegranate
23.57,45.94,37.99,22.25,80.78,6.87,90.48,pomegranate
20.05,54.83,41.98,18.58,78.93,6.15,66.28,pomegranate
24.48,51.5,39.02,23.91,85.82,6.91,95.27,pomegranate
20.15,51.62,43.43,23.53,76.72,5.69,81.18,pomegranate
17.69,40.32,45.84,18.32,83.93,6.31,98.75,pomegranate
19.84,40.95,43.28,26.41,89.95,6.15,72.81,pomegranate
24.07,42.87,44.23,22.06,75.62,6.02,70.61,pomegranate
21.86,54.23,39.02,26.11,75.83,6.31,62.82,pomegranate
24.34,51.5,44.87,26.24,84.71,6.95,88.56,pomegranate
24.25,47.76,36.76,23.28,76.9,6.39,79.3,pomegranate
21.23,40.15,37.92,22.91,89.26,6.08,76.97,pomegranate
22.15,49.06,39.48,22.11,78.27,6.95,65.23,pomegranate
18.72,40.39,38.33,25.8,78.02,5.62,78.98,pomegranate
15.1,41.27,47.11,25.71,88.73,6.78,87.33,pomegranate
15.52,51.74,47.68,25.99,82.63,5.85,93.81,pomegranate
22.27,54.71,37.34,20.26,78.18,6.69,67.48,pomegranate
15.67,54.98,35.37,26.35,80.48,6.76,82.18,pomegranate
24.02,53.89,35.14,18.75,78.76,6.5,95.53,pomegranate
19.6,49.1,37.83,26.05,89.51,5.9,79.79,pomegranate
15.86,48.39,42.54,19.44,81.63,6.0,80.87,pomegranate
20.86,40.13,46.42,25.13,80.49,5.58,90.2,pomegranate
24.55,43.6,39.85,19.84,83.65,5.73,74.25,pomegranate
21.97,48.4,40.8,22.2,83.43,5.51,63.14,pomegranate
23.81,41.17,45.6,27.2,79.06,6.06,82.76,pomegranate
23.82,54.13,46.09,18.87,85.04,6.12,78.83,pomegranate
15.49,42.87,46.86,22.54,79.52,6.08,94.18,pomegranate
22.49,44.08,36.76,20.52,88.81,6.37,81.34,pomegranate
20.96,45.49,47.11,23.23,76.75,5.69,81.47,pomegranate
24.37,44.63,48.04,25.64,78.72,5.55,64.07,pomegranate
22.28,43.0,40.57,23.02,85.88,5.67,76.25,pomegranate
19.85,48.11,47.28,19.72,87.12,6.54,82.23,pomegranate
22.0,46.18,37.08,24.66,82.87,6.46,73.52,pomegranate
24.07,48.81,36.28,22.5,86.35,6.69,79.78,pomegranate
23.95,44.02,41.16,26.99,88.44,6.53,94.36,pomegranate
15.89,52.97,39.81,19.78,78.59,6.13,70.05,pomegranate
18.21,42.02,39.44,23.72,81.63,6.02,89.86,pomegranate
23.94,51.35,39.98,25.44,77.28,5.7,73.83,pomegranate
23.08,43.7,35.95,19.32,87.88,6.45,70.13,pomegranate
20.55,47.91,44.83,20.33,87.97,5.96,87.77,pomegranate
15.16,45.59,40.28,23.43,76.09,6.69,68.71,pomegranate
21.77,52.05,43.43,25.41,84.93,6.03,92.35,pomegranate
17.95,48.57,46.18,21.79,79.54,6.19,92.72,pomegranate
24.3,48.18,44.92,27.03,76.48,5.85,88.36,pomegranate
23.24,52.86,41.23,18.89,81.57,5.85,71.65,pomegranate
22.72,41.13,47.41,22.28,83.94,5.63,73.49,pomegranate
15.9,54.42,47.11,22.6,78.35,6.9,73.78,pomegranate
16.61,48.45,49.16,18.04,78.57,6.91,66.84,pomegranate
16.13,48.55,47.93,22.77,89.92,6.52,62.96,pomegranate
24.93,46.12,39.31,23.58,79.56,5.63,60.06,pomegranate
19.5,52.55,43.58,27.99,79.3,5.92,66.39,pomegranate
16.64,44.28,46.89,27.06,89.63,5.85,95.25,pomegranate
18.28,41.69,48.05,24.36,77.47,6.14,71.49,pomegranate
22.37,46.8,49.84,18.55,80.33,6.22,80.13,pomegranate
18.16,50.94,48.12,27.39,87.08,6.78,82.02,pomegranate
23.26,44.55,40.98,21.17,82.01,5.93,98.46,pomegranate
18.13,41.47,42.9,18.57,76.66,5.83,78.57,pomegranate
19.33,52.0,46.09,22.26,80.01,5.97,90.96,pomegranate
15.52,40.19,46.93,22.77,76.96,5.85,97.3,pomegranate
23.6,50.65,42.23,23.2,89.63,6.95,68.61,pomegranate
23.11,42.96,38.2,24.76,81.08,6.9,63.56,pomegranate
20.12,53.78,48.56,19.57,80.5,6.43,66.38,pomegranate
24.68,53.72,37.5,19.21,76.28,6.86,67.74,pomegranate
19.16,46.73,43.99,18.72,78.4,6.9,96.34,pomegranate
22.81,40.29,39.91,24.28,79.13,6.86,85.36,pomegranate
15.72,53.64,49.37,18.78,82.99,5.96,75.71,pomegranate
16.8,48.67,49.37,23.03,76.24,6.43,73.61,pomegranate
23.56,46.52,37.89,19.91,86.53,5.9,90.69,pomegranate
17.06,44.83,41.98,27.43,88.98,5.81,74.33,pomegranate
16.49,47.65,41.91,27.01,88.95,6.08,79.67,pomegranate
23.96,52.1,35.05,21.2,81.33,5.84,67.98,pomegranate
15.38,49.65,38.94,18.52,78.46,6.7,94.06,pomegranate
19.83,46.24,49.67,20.01,78.23,5.94,66.91,pomegranate
18.79,53.66,44.23,22.12,89.02,5.57,68.41,pomegranate
20.66,49.23,35.59,22.03,84.74,6.55,85.53,pomegranate
18.21,41.4,41.41,19.29,89.21,6.21,72.69,pomegranate
22.66,47.47,39.65,26.12,88.01,6.51,61.88,pomegranate
20.66,51.45,37.05,20.29,88.24,5.53,90.11,pomegranate
19.74,46.7,35.11,26.19,80.4,6.31,87.09,pomegranate
22.03,54.34,42.97,22.0,89.31,6.46,71.93,pomegranate
16.26,52.64,40.43,24.6,82.06,5.8,84.07,pomegranate
15.61,46.2,43.2,22.36,86.23,6.74,90.85,pomegranate
15.39,42.91,43.05,27.35,87.52,6.76,72.13,pomegranate
19.29,47.06,37.36,18.31,89.2,5.86,69.6,pomegranate
15.83,53.93,43.7,24.67,88.67,6.02,84.86,pomegranate
90.78,63.74,52.47,32.67,80.26,6.07,153.36,banana
90.0,64.82,43.12,27.5,87.09,5.92,119.15,banana
100.09,77.31,43.62,25.79,80.35,6.62,155.07,banana
106.34,79.19,51.89,31.04,82.4,5.56,198.43,banana
97.67,63.04,50.0,27.84,83.79,6.38,144.57,banana
106.72,65.3,46.73,30.38,84.95,6.68,139.48,banana
102.92,63.01,53.99,28.83,85.94,5.53,120.52,banana
99.74,77.57,47.91,34.3,82.26,6.24,111.97,banana
106.05,64.94,53.49,34.11,89.15,6.28,167.71,banana
105.57,62.62,49.01,25.34,82.46,5.73,118.29,banana
97.3,68.65,49.35,25.74,82.56,5.77,157.4,banana
102.75,71.13,51.07,28.36,86.48,6.15,148.42,banana
102.96,60.37,49.81,31.19,79.65,5.63,109.09,banana
108.46,73.79,41.91,28.57,83.89,6.75,104.37,banana
94.73,77.79,40.14,27.01,89.39,6.42,126.17,banana
91.34,60.56,43.67,33.81,81.24,6.58,191.83,banana
98.16,63.83,47.76,34.08,87.07,5.6,169.26,banana
101.44,78.15,41.84,30.34,88.19,6.12,148.2,banana
91.41,65.56,44.87,34.45,79.24,6.19,167.13,banana
93.24,69.73,51.08,33.67,84.39,6.5,112.63,banana
108.92,62.65,51.62,27.65,89.0,6.58,175.38,banana
94.38,68.86,49.27,32.7,76.56,6.94,189.02,banana
95.41,76.46,47.77,29.62,79.72,6.37,172.99,banana
98.22,72.58,50.49,32.11,75.78,6.79,145.83,banana
95.25,64.84,47.25,33.87,80.68,6.62,109.68,banana
99.52,79.83,51.56,27.11,82.52,5.85,140.96,banana
105.6,75.42,43.42,34.22,83.89,6.07,150.19,banana
102.1,71.2,47.3,30.05,77.65,6.72,154.18,banana
92.62,75.32,53.99,34.47,80.54,5.7,151.84,banana
92.25,78.68,42.75,27.53,81.1,6.07,179.47,banana
99.13,63.42,44.01,30.09,77.21,6.42,156.57,banana
104.29,78.75,53.68,34.46,78.67,5.7,130.23,banana
107.9,79.44,52.89,26.1,89.21,6.14,100.93,banana
98.85,60.92,48.16,28.39,82.1,6.42,186.88,banana
103.24,68.68,52.29,34.06,76.8,6.3,128.45,banana
90.94,73.37,52.94,26.63,87.19,6.78,191.43,banana
95.31,78.08,44.81,30.52,75.76,5.57,172.04,banana
98.89,65.13,42.86,31.7,75.01,6.71,107.92,banana
93.83,67.72,47.27,28.55,79.81,6.95,164.16,banana
90.47,68.6,53.13,28.01,76.42,6.64,160.6,banana
101.41,61.07,42.11,31.23,78.12,6.26,154.49,banana
95.67,78.97,52.64,32.22,76.17,5.66,149.28,banana
93.21,79.57,42.38,29.87,80.46,6.46,112.9,banana
98.61,65.49,53.32,25.41,88.71,6.75,129.76,banana
105.79,60.62,54.5,30.27,79.55,6.04,106.64,banana
109.79,60.79,49.82,29.43,89.23,5.87,153.21,banana
99.65,74.06,41.02,26.94,78.22,6.61,118.91,banana
101.47,64.3,52.92,34.42,82.78,6.03,123.41,banana
91.0,65.37,49.81,30.34,89.16,6.09,169.39,banana
99.79,70.25,44.02,29.55,82.06,6.56,194.06,banana
96.59,60.84,47.44,30.44,77.53,6.64,198.49,banana
108.92,63.94,53.13,32.04,81.81,6.31,184.96,banana
99.6,67.46,47.4,30.79,77.84,6.85,167.42,banana
102.67,61.99,49.06,26.21,76.18,6.29,140.28,banana
101.78,61.78,46.46,26.75,89.81,6.34,168.74,banana
96.51,61.89,54.64,27.86,81.36,6.47,102.47,banana
106.21,70.73,44.17,25.62,77.44,6.84,168.6,banana
95.0,61.31,50.36,30.72,81.07,6.05,121.68,banana
103.39,79.41,42.64,30.97,81.36,6.17,125.41,banana
106.5,69.71,48.15,28.05,77.73,5.63,171.41,banana
93.92,73.8,45.86,29.16,82.04,6.05,110.06,banana
96.19,73.27,49.99,27.86,81.9,5.79,121.04,banana
90.46,77.93,43.16,27.28,79.19,5.69,163.93,banana
91.5,62.68,49.67,28.4,85.62,6.34,125.6,banana
103.02,62.33,48.05,29.37,79.02,6.41,187.13,banana
109.98,72.16,46.07,27.25,78.86,6.22,136.73,banana
108.28,67.37,45.6,28.84,87.55,6.48,161.42,banana
96.68,76.36,40.58,33.71,82.69,6.1,149.72,banana
103.35,60.26,53.07,29.47,80.14,5.71,143.95,banana
99.93,68.07,50.18,29.21,89.42,6.4,180.75,banana
92.19,67.95,45.05,30.69,87.92,5.62,107.26,banana
107.01,64.26,50.03,30.43,87.49,5.69,112.98,banana
101.14,78.93,46.22,28.27,84.1,6.9,183.69,banana
109.91,60.45,41.69,31.09,87.31,5.93,123.92,banana
105.74,61.13,45.54,30.06,83.41,6.59,135.48,banana
102.25,71.71,48.21,31.4,78.89,5.63,111.93,banana
94.49,70.0,52.61,32.01,86.84,6.03,140.47,banana
97.87,63.84,40.92,30.91,89.84,5.75,104.67,banana
105.59,65.05,52.44,32.04,89.19,6.11,166.2,banana
99.3,72.61,46.74,26.89,82.62,6.29,181.06,banana
104.71,73.28,41.7,32.21,82.5,6.84,191.99,banana
91.1,76.41,40.57,28.67,83.13,5.72,174.63,banana
90.17,63.37,48.71,32.14,88.75,6.56,167.18,banana
97.89,60.03,41.8,30.35,85.13,6.13,173.07,banana
100.44,61.48,42.88,33.4,85.87,6.84,111.76,banana
109.8,64.19,40.18,34.97,79.22,6.5,117.67,banana
101.6,78.08,44.8,31.7,77.82,6.44,133.65,banana
94.22,66.26,42.68,34.02,80.96,5.87,144.84,banana
96.41,74.89,54.57,29.38,87.92,6.35,115.72,banana
103.81,70.27,49.76,33.9,81.61,6.85,175.07,banana
99.77,72.06,44.88,34.84,85.01,5.57,132.66,banana
102.47,61.13,40.36,29.5,79.99,6.16,126.27,banana
93.29,73.78,47.72,27.0,79.79,6.39,107.22,banana
92.95,61.46,52.18,32.52,86.3,6.57,166.94,banana
99.54,72.85,40.58,31.21,86.67,6.25,135.75,banana
95.55,72.86,50.39,33.71,80.14,6.65,156.14,banana
107.66,70.56,47.76,30.78,86.24,6.95,107.36,banana
91.07,78.75,47.95,31.15,82.24,5.64,176.81,banana
104.94,66.23,44.59,33.38,76.09,6.82,125.67,banana
101.86,78.72,50.17,29.14,85.34,6.02,127.73,banana
24.97,22.51,21.45,27.91,45.98,5.56,106.63,mango
22.62,20.37,23.41,24.37,52.34,5.97,103.42,mango
15.72,24.54,17.23,34.15,53.52,7.47,106.62,mango
24.31,15.05,22.48,33.93,47.79,5.69,102.74,mango
24.34,20.42,20.27,25.55,45.02,7.12,92.63,mango
21.34,24.15,17.09,31.32,46.57,6.71,94.92,mango
22.36,18.01,19.63,30.59,48.43,6.98,99.08,mango
21.62,16.58,21.88,25.41,53.51,5.99,112.45,mango
17.62,23.82,23.92,26.16,57.28,5.68,101.75,mango
22.13,21.59,21.25,27.11,52.56,5.71,111.57,mango
20.04,22.09,17.49,27.57,51.68,5.55,100.23,mango
23.03,23.97,20.18,29.01,45.62,7.26,90.39,mango
24.45,19.89,18.42,34.17,45.49,6.66,106.47,mango
17.19,19.29,21.52,32.0,45.01,7.37,94.94,mango
17.34,17.63,15.38,25.35,64.73,6.13,93.46,mango
16.07,22.19,23.55,26.83,45.42,5.95,91.7,mango
16.03,19.32,17.3,29.68,50.07,7.38,117.18,mango
20.67,18.54,18.81,28.53,59.55,6.4,115.7,mango
24.44,18.36,20.61,25.05,49.01,6.33,96.19,mango
23.77,16.58,19.56,30.66,58.84,6.27,116.07,mango
20.68,19.4,15.67,29.11,61.41,6.73,114.96,mango
19.94,16.18,15.14,27.34,58.96,7.08,98.87,mango
19.96,19.21,19.11,26.54,47.73,5.89,91.66,mango
16.98,15.09,21.27,27.48,64.46,5.89,100.37,mango
18.58,15.08,23.39,24.35,63.8,7.28,106.07,mango
20.44,21.54,18.87,31.12,45.9,5.61,103.72,mango
20.5,23.88,16.05,33.05,49.2,6.29,99.5,mango
19.0,16.5,20.04,32.82,53.83,6.48,115.46,mango
22.06,19.9,17.58,33.73,56.54,5.94,98.07,mango
23.03,15.44,24.92,25.43,60.92,6.29,104.77,mango
23.81,19.13,20.37,24.54,45.05,5.99,110.42,mango
16.21,16.14,19.11,31.13,59.24,5.86,92.39,mango
24.4,17.61,23.53,33.5,60.45,5.84,114.65,mango
22.69,20.97,18.37,26.89,47.44,6.52,107.56,mango
18.59,19.75,18.64,31.05,63.03,5.83,101.44,mango
16.41,21.25,22.29,34.25,50.58,7.4,91.9,mango
21.03,15.57,23.94,29.83,58.39,7.16,94.51,mango
15.39,23.79,18.15,25.42,54.37,6.7,90.93,mango
17.75,15.33,19.2,33.85,64.65,6.77,94.85,mango
24.06,20.16,16.54,34.14,60.15,6.96,111.28,mango
17.0,17.11,21.88,26.42,53.77,7.06,113.52,mango
19.53,22.92,23.39,31.2,49.57,6.05,99.45,mango
16.17,17.73,17.1,29.01,63.17,5.71,111.61,mango
21.87,15.96,24.23,30.25,52.27,7.01,97.72,mango
21.94,15.4,23.39,28.93,57.73,5.94,110.31,mango
22.72,19.73,21.18,29.02,62.88,6.5,115.25,mango
23.01,19.11,17.3,28.47,61.52,5.96,105.73,mango
23.06,18.53,21.42,26.7,47.19,7.09,92.97,mango
17.71,23.55,18.46,34.7,64.59,6.04,91.23,mango
22.05,19.51,16.01,31.78,45.62,7.24,94.16,mango
16.27,16.76,24.6,31.62,61.03,6.3,100.09,mango
17.34,19.81,20.52,30.95,50.14,7.4,95.09,mango
24.66,15.15,19.81,27.67,53.98,6.64,103.07,mango
19.15,22.33,21.86,33.17,50.0,6.72,107.56,mango
18.7,19.86,18.14,25.56,49.28,5.71,110.49,mango
21.61,24.51,22.3,24.57,62.68,7.23,103.3,mango
20.86,24.76,20.32,33.96,46.66,5.88,103.22,mango
20.85,23.16,24.88,28.28,45.95,7.1,108.13,mango
16.99,19.95,22.42,32.47,54.99,6.11,119.21,mango
21.63,19.08,17.8,32.04,49.84,5.84,105.9,mango
17.9,21.29,16.18,31.2,50.67,5.5,93.81,mango
24.34,23.67,17.34,32.56,57.17,7.44,101.21,mango
21.81,15.64,18.96,34.6,55.78,6.08,93.61,mango
22.04,21.45,18.74,34.46,45.44,6.11,117.63,mango
18.21,17.52,20.34,33.06,47.06,7.39,113.85,mango
16.81,22.12,18.85,28.43,60.67,7.43,93.8,mango
19.21,19.81,18.76,28.0,46.05,6.87,103.09,mango
16.95,23.16,23.03,29.35,50.97,6.78,98.64,mango
17.36,22.31,15.4,25.04,45.14,5.81,92.07,mango
24.96,17.89,16.49,26.65,63.72,6.54,100.94,mango
23.73,18.95,18.35,26.28,52.56,6.13,110.32,mango
17.9,20.77,15.66,26.1,53.15,7.37,101.32,mango
21.64,17.55,16.27,24.64,51.11,5.82,95.22,mango
22.61,15.16,20.58,28.17,55.13,6.63,99.4,mango
17.95,22.33,23.71,26.12,46.95,7.3,100.5,mango
20.51,18.6,16.26,30.48,55.5,5.91,103.56,mango
22.97,20.9,15.97,30.03,59.05,7.09,108.87,mango
16.53,22.1,21.77,24.27,53.23,6.17,110.08,mango
17.16,20.91,24.13,32.78,63.43,7.46,90.32,mango
21.23,19.13,23.6,26.77,64.62,6.73,113.81,mango
15.86,16.83,22.58,24.24,61.34,5.53,109.71,mango
18.65,21.11,21.96,27.77,47.16,5.64,107.67,mango
20.21,22.42,20.1,28.65,52.96,5.55,100.07,mango
24.76,23.74,18.29,30.47,61.95,6.38,90.54,mango
15.75,20.1,24.69,31.63,46.42,5.88,113.14,mango
23.41,21.18,21.44,24.31,61.57,7.08,97.77,mango
22.09,17.15,15.4,26.21,48.57,6.18,102.55,mango
20.09,19.77,17.71,24.32,57.1,6.29,98.96,mango
23.67,22.47,23.58,29.44,47.62,6.89,96.18,mango
19.41,15.65,23.25,25.39,63.06,7.23,103.94,mango
22.44,21.19,23.03,28.75,60.72,6.42,118.23,mango
19.86,19.63,22.85,33.04,56.09,5.86,104.03,mango
24.68,22.53,23.11,24.36,54.36,6.79,114.9,mango
15.49,23.52,20.48,26.17,51.35,6.06,105.93,mango
15.52,16.59,23.13,25.46,49.67,6.41,105.51,mango
22.64,19.47,22.9,30.8,47.26,5.81,103.11,mango
18.97,22.44,20.81,28.27,48.42,5.95,107.27,mango
19.23,20.15,16.71,31.29,62.05,6.02,104.75,mango
24.76,18.33,20.95,24.99,57.12,5.68,118.78,mango
22.16,22.88,22.04,30.49,54.0,7.22,118.71,mango
19.99,24.32,20.83,12.85,84.54,5.71,60.07,grapes
17.42,20.1,18.8,12.04,89.81,5.85,69.04,grapes
16.34,15.48,22.75,13.14,87.61,5.65,71.44,grapes
17.54,17.28,15.12,9.17,83.09,5.62,79.72,grapes
18.09,16.3,16.99,13.29,80.64,6.36,79.23,grapes
17.47,19.5,15.22,13.77,84.14,5.77,64.14,grapes
21.54,19.16,16.8,14.2,85.65,6.36,62.35,grapes
22.86,21.74,16.15,14.25,84.42,6.44,62.83,grapes
21.43,18.82,24.57,10.97,89.62,6.4,65.41,grapes
23.04,24.96,17.53,11.93,85.2,5.79,60.31,grapes
17.2,17.82,19.44,9.54,88.73,6.2,61.7,grapes
21.5,21.54,24.56,8.03,82.48,6.43,78.64,grapes
22.21,22.66,15.91,12.62,82.32,5.68,76.21,grapes
16.35,19.69,24.39,9.67,89.78,6.49,71.11,grapes
16.7,18.16,19.24,10.78,82.81,6.47,63.07,grapes
22.33,15.0,20.96,16.24,82.88,5.69,73.03,grapes
22.13,21.88,18.19,10.27,89.56,6.42,69.15,grapes
23.46,19.52,19.24,9.41,84.26,6.04,60.45,grapes
19.44,22.81,21.8,13.72,89.1,5.52,71.14,grapes
22.87,20.41,18.24,9.23,88.88,5.97,77.56,grapes
20.86,21.74,23.04,13.93,83.98,6.01,76.06,grapes
18.74,18.88,15.96,16.23,80.91,6.15,68.26,grapes
19.06,21.8,15.67,13.34,87.72,6.33,63.41,grapes
23.97,21.56,23.82,12.37,85.42,6.42,78.0,grapes
19.48,17.74,18.93,11.49,82.87,5.77,77.22,grapes
15.7,21.78,16.73,11.1,80.62,5.77,75.37,grapes
23.85,17.22,19.64,12.23,88.74,6.26,70.26,grapes
21.71,23.47,15.1,11.63,89.07,6.24,70.86,grapes
20.3,18.48,20.21,13.9,84.18,6.21,77.22,grapes
16.55,19.52,19.08,14.19,82.5,6.14,77.55,grapes
19.18,24.11,24.93,8.95,82.33,6.45,79.17,grapes
15.98,15.15,16.61,16.96,81.8,6.0,76.97,grapes
15.2,21.04,17.77,15.76,82.83,6.19,73.48,grapes
17.21,15.35,19.09,10.6,88.09,6.3,69.14,grapes
21.07,21.04,23.27,11.83,82.75,5.77,70.72,grapes
19.49,19.4,15.91,14.47,82.14,5.7,68.26,grapes
17.28,20.84,18.71,12.04,85.37,5.7,63.12,grapes
23.8,19.34,19.12,8.32,84.98,6.05,71.18,grapes
22.07,16.77,17.52,15.3,89.47,5.64,69.95,grapes
17.14,15.6,18.26,9.29,87.1,6.03,62.88,grapes
15.09,23.08,16.76,13.46,83.37,6.09,66.31,grapes
15.87,17.23,16.88,11.85,86.58,5.76,60.24,grapes
20.19,21.06,24.63,13.31,84.71,6.07,78.56,grapes
23.28,18.23,17.37,10.36,85.04,6.24,70.06,grapes
15.68,22.24,23.06,10.61,86.64,5.93,77.78,grapes
23.45,20.25,21.92,15.95,84.96,5.81,75.07,grapes
17.2,18.89,23.66,14.52,84.04,5.71,67.12,grapes
17.84,16.76,22.43,10.27,84.54,5.89,79.64,grapes
18.91,15.8,15.9,13.32,85.99,5.92,68.64,grapes
15.54,20.17,20.05,9.35,81.04,5.62,62.02,grapes
21.1,16.96,17.51,9.56,89.58,6.35,64.61,grapes
18.28,17.1,19.92,8.18,86.71,6.02,77.97,grapes
16.64,23.04,22.92,9.14,83.99,5.67,65.09,grapes
17.63,20.56,19.11,16.53,81.26,6.47,64.61,grapes
22.73,18.39,16.43,15.72,83.09,6.16,71.33,grapes
19.72,19.96,22.32,8.79,86.68,6.4,61.16,grapes
16.41,22.17,19.37,11.63,81.37,6.01,62.53,grapes
19.77,22.64,17.58,12.33,89.92,6.19,76.83,grapes
19.15,22.68,15.41,9.11,82.03,5.9,76.91,grapes
18.46,21.55,22.09,13.28,83.57,6.08,66.85,grapes
15.84,24.93,16.27,8.65,88.79,5.8,73.01,grapes
18.29,18.91,17.62,11.09,84.11,6.22,70.23,grapes
24.44,15.42,20.03,13.26,89.2,5.55,71.47,grapes
23.54,17.42,23.76,8.17,87.32,6.43,73.14,grapes
19.39,15.45,24.2,12.23,80.29,6.19,69.64,grapes
16.24,17.14,15.64,13.17,86.22,6.01,76.34,grapes
23.61,21.16,15.13,14.26,84.18,6.07,72.98,grapes
18.5,24.17,16.34,14.04,80.04,6.42,62.25,grapes
15.95,18.33,18.74,9.93,85.85,5.94,60.68,grapes
18.2,23.1,21.9,14.52,86.98,5.81,61.99,grapes
17.72,23.32,24.8,12.44,80.1,5.64,66.44,grapes
20.79,15.75,24.43,11.29,89.13,6.28,75.11,grapes
21.07,21.27,21.38,13.66,85.54,6.49,74.65,grapes
22.77,23.72,17.16,8.75,84.83,6.01,76.58,grapes
19.44,20.71,20.27,8.34,86.15,6.33,63.15,grapes
20.94,20.94,16.64,9.11,89.8,5.89,64.55,grapes
16.71,21.68,21.09,13.79,80.88,6.39,67.79,grapes
